,rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeOn,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
1141,Basaltic andesite,-122.6775,45.9585,55.8,1.3,16.97,7.96,0.15,4.46,8.96,3.28,0.86,0.27
1142,Basaltic andesite breccia,-122.7307,45.941,53.87,1.34,17.66,8.12,0.16,5.67,9.45,2.99,0.47,0.27
1143,Basaltic andesite,-122.75,45.9755,56.34,0.84,18.94,6.78,0.12,4.25,8.35,3.21,0.99,0.17
1144,Andesite,-122.6317,45.9125,58.05,1.42,17.16,7.61,0.14,3.03,7.95,3.57,0.67,0.4
1145,Andesite,-122.7187,45.9123,59.57,1.76,15.19,8.6,0.19,2.46,5.65,4.2,1.67,0.72
1146,Andesite,-122.6928,45.978,59.6,1.52,15.64,8.27,0.15,3.05,6.0,4.04,1.31,0.41
1147,Andesite,-122.7342,45.8857,59.81,1.56,16.08,7.75,0.23,2.87,6.4,3.86,1.07,0.37
1148,Andesite,-122.6717,45.8817,59.89,1.66,15.54,8.23,0.16,2.64,5.82,4.06,1.59,0.4
1149,Andesite,-122.6818,45.967,62.35,0.96,16.9,5.27,0.11,2.87,6.35,3.32,1.66,0.22
1150,Andesite,-122.6612,45.9708,62.65,1.36,15.51,6.84,0.14,2.15,4.89,4.25,1.78,0.43
1151,Dacite,-122.708,45.9642,66.06,1.09,15.46,5.51,0.13,1.32,3.84,4.43,1.8,0.36
1152,Dacite,-122.6533,45.9115,67.06,0.84,15.1,5.47,0.13,1.0,3.48,4.61,2.03,0.27
1153,Dacite,-122.6702,45.908,69.0,0.86,15.8,2.98,0.08,0.69,3.15,4.74,2.48,0.23
1154,Dacite,-122.698,45.8955,69.23,0.61,14.95,4.19,0.12,0.71,2.61,5.16,2.26,0.15
1155,Dacite,-122.7178,45.9835,72.91,0.39,14.43,3.3,0.08,0.52,5.21,2.72,0.36,0.09
1156,Basaltic andesite dike,-122.654,45.963,53.41,0.87,17.5,7.4,0.13,7.62,9.81,2.47,0.6,0.19
